cell_id,point_id,frame,x,y,cut
220530-E1_Out,0,3,368.0,192.0,False
220530-E1_Out,0,4,391.0750331878662,194.73305487632751,False
220530-E1_Out,0,5,390.4799562692642,194.35316091775894,False
220530-E1_Out,0,6,390.1506432592869,193.97447738051414,False
220530-E1_Out,0,7,389.6750626564026,193.49227437376976,False
220530-E1_Out,0,8,389.203163176775,192.9081617295742,False
220530-E1_Out,0,9,389.1720694154501,192.2544386088848,False
220530-E1_Out,0,10,388.9455733150244,191.8605504333973,False
220530-E1_Out,1,3,306.0,251.0,False
220530-E1_Out,1,4,284.72489738464355,252.220152258873,False
220530-E1_Out,1,5,284.16057300567627,251.99580252170563,False
220530-E1_Out,1,6,283.7692522108555,251.57002878189087,False
220530-E1_Out,1,7,283.1706217825413,251.1373409628868,False
220530-E1_Out,1,8,282.43542698025703,250.63175982236862,False
220530-E1_Out,1,9,282.16898638010025,250.13749140501022,False
220530-E1_Out,1,10,281.92801705002785,249.55046010017395,False
220530-E1_Out,2,3,374.0,224.0,False
220530-E1_Out,2,4,387.57156562805176,227.12703585624695,False
220530-E1_Out,2,5,387.12839844822884,226.7260129749775,False
220530-E1_Out,2,6,387.0730399340391,226.60977987200022,False
220530-E1_Out,2,7,386.45886068046093,226.23585782200098,False
220530-E1_Out,2,8,386.121165946126,225.8684636130929,False
220530-E1_Out,2,9,385.59813816845417,225.5104529634118,False
220530-E1_Out,5,3,315.0,188.0,False
220530-E1_Out,5,4,298.59836196899414,180.69945001602173,False
220530-E1_Out,5,5,297.60967552661896,179.9960560798645,False
220530-E1_Out,5,6,296.95723259449005,179.5639654994011,False
220530-E1_Out,5,7,296.334764957428,179.14296692609787,False
220530-E1_Out,5,8,295.5813682079315,178.78165128827095,False
220530-E1_Out,5,9,295.08389005064964,178.4363076388836,False
220530-E1_Out,5,10,294.67151242494583,178.00879254937172,False
220530-E1_Out,6,3,316.0,184.0,False
220530-E1_Out,6,4,299.50598526000977,176.37677812576294,False
220530-E1_Out,6,5,298.66460156440735,175.69716602563858,False
220530-E1_Out,6,6,298.0065276622772,175.10072720050812,False
220530-E1_Out,6,7,297.0805193185806,174.26361602544785,False
220530-E1_Out,6,8,295.7983332872391,173.68843179941177,False
220530-E1_Out,6,9,295.121177315712,173.4437518119812,False
220530-E1_Out,6,10,294.3979767560959,173.02943301200867,False
220530-E1_Out,6,11,293.047479391098,172.70609936118126,False
220530-E1_Out,6,12,290.89027428627014,172.01836541295052,False
220530-E1_Out,7,4,333.0,262.0,True
220530-E2_Out,9,3,298.0,239.0,False
220530-E2_Out,9,4,318.4168128967285,247.48111820220947,False
220530-E2_Out,9,5,317.7511646747589,247.2375423014164,False
220530-E2_Out,9,6,317.1166467666626,247.10277199745178,False
220530-E2_Out,9,7,316.2787517309189,246.78332829475403,False
220530-E2_Out,10,3,250.0,251.0,False
220530-E2_Out,10,4,225.14559173583984,252.71798622608185,False
220530-E2_Out,10,5,220.9883532524109,250.71628963947296,False
220530-E2_Out,10,6,217.98155426979065,247.35247147083282,False
220530-E2_Out,10,7,215.34478449821472,245.69188523292542,False
220530-E2_Out,10,8,211.30813145637512,243.9969803094864,False
220530-E2_Out,10,9,207.07953763008118,242.82992923259735,False
220530-E2_Out,10,10,203.95042824745178,241.18992042541504,False
220530-E2_Out,10,11,201.5866231918335,239.89124512672424,False
220530-E2_Out,12,3,253.0,217.0,False
220530-E2_Out,12,4,232.5069637298584,215.51069903373718,False
220530-E2_Out,12,5,230.46101260185242,214.32448995113373,False
220530-E2_Out,12,6,228.8518898487091,212.959414601326,False
220530-E2_Out,12,7,227.2258608341217,211.80637800693512,False
220530-E2_Out,12,8,225.2427520751953,210.83763974905014,False
220530-E2_Out,12,9,223.38999724388123,209.76300817728043,False
220530-E2_Out,12,10,221.85482776165009,208.73307663202286,False
220530-E2_Out,12,11,220.34124732017517,207.2830519080162,False
220530-E2_Out,13,4,274.0,283.0,True
220530-E3_Out,15,3,347.0,272.0,False
220530-E3_Out,15,4,353.95236015319824,294.89874839782715,False
220530-E3_Out,15,5,354.5543760061264,295.36911249160767,False
220530-E3_Out,15,6,354.7188912034035,294.95753931999207,False
220530-E3_Out,15,7,354.3050827085972,295.9840577840805,False
220530-E3_Out,15,8,353.8686411380768,295.386283993721,False
220530-E3_Out,15,9,353.92805437743664,294.70838165283203,False
220530-E3_Out,15,10,354.5361116975546,295.2043632864952,False
220530-E3_Out,15,11,354.69666393101215,295.7913119196892,False
220530-E3_Out,15,12,354.1661334782839,295.27465492486954,False
220530-E3_Out,16,3,331.0,270.0,False
220530-E3_Out,16,4,337.64813137054443,293.30925369262695,False
220530-E3_Out,16,5,337.9097201824188,294.281054854393,False
220530-E3_Out,16,6,338.2421010732651,294.04646936059,False
220530-E3_Out,16,7,338.0414854288101,295.2512657940388,False
220530-E3_Out,16,8,337.7294217348099,294.47741171717644,False
220530-E3_Out,16,9,337.9083606302738,293.5407287180424,False
220530-E3_Out,16,10,337.5135731101036,294.3100167810917,False
220530-E3_Out,16,11,337.74242198467255,294.97723838686943,False
220530-E3_Out,17,3,322.0,277.0,False
220530-E3_Out,17,4,324.09693932533264,292.89502906799316,False
220530-E3_Out,17,5,324.4446473121643,293.5802184343338,False
220530-E3_Out,17,6,324.30600798130035,293.58312202990055,False
220530-E3_Out,17,7,324.7143842577934,294.0553809851408,False
220530-E3_Out,17,8,324.2791241109371,293.8897960335016,False
220530-E3_Out,17,9,324.41110007464886,293.1276644617319,False
220530-E3_Out,17,10,324.749967738986,293.55393446981907,False
220530-E3_Out,18,3,348.0,225.0,False
220530-E3_Out,18,4,344.62358951568604,206.0301113128662,False
220530-E3_Out,18,5,344.4590465426445,205.73222172260284,False
220530-E3_Out,18,6,344.0244429409504,205.14316308498383,False
220530-E3_Out,18,7,343.46579173207283,204.85919401049614,False
220530-E3_Out,18,8,342.8300646841526,203.58911177515984,False
220530-E3_Out,18,9,342.7857933193445,203.77516323328018,False
220530-E3_Out,18,10,342.8056545704603,203.25423729419708,False
220530-E3_Out,19,3,337.0,286.0,False
220530-E3_Out,19,4,340.79233264923096,304.4072723388672,False
220530-E3_Out,19,5,341.2003193497658,305.38809764385223,False
220530-E3_Out,19,6,341.44529044628143,305.35867647081614,False
220530-E3_Out,19,7,341.7677505016327,305.5985104814172,False
220530-E3_Out,19,8,341.2979680597782,304.9975359812379,False
220530-E3_Out,19,9,341.8421483337879,303.9842230454087,False
220530-E3_Out,19,10,342.3273911178112,304.842088021338,False
220530-E3_Out,19,11,342.9512865245342,305.5003006234765,False
220530-E3_Out,20,3,368.0,234.0,False
220530-E3_Out,20,4,367.17499816417694,212.66386604309082,False
220530-E3_Out,20,5,366.6469497680664,212.05496203899384,False
220530-E3_Out,20,6,366.13800740242004,210.73655688762665,False
220530-E3_Out,20,7,365.112756729126,210.12287944555283,False
220530-E3_Out,20,8,364.8066004514694,208.78126567602158,False
220530-E3_Out,20,9,364.70560654997826,209.31876516342163,False
